Topic,Last Touch,Next Touch,Problems Solved,Difficulties,Dates,Problem Listed Difficulties
Kadane's Algorithm,2025/01/24/22/45/19,2025/02/06/22/45/19,"[""Maximum Subarray Sum"", ""Maximum Subarray"", ""Maximum Subarray""]","[0, 2, 2]","[""2025/01/16/00/00/00"", ""2025/01/24/22/37/14"", ""2025/01/24/22/45/19""]","[""Medium"", ""medium"", ""medium""]"
Heaps,2025/01/16/00/00/00,2025/01/18/00/00/00,"[""Min Heap""]",[0],"[""2025/01/16/00/00/00""]","[""Medium""]"
Trees,2025/01/16/00/00/00,2025/01/18/00/00/00,"[""Pre/in/post order traversal of binary tree""]",[0],"[""2025/01/16/00/00/00""]","[""Medium""]"
Knapsack Problems,2025/01/21/18/08/45,2025/01/25/18/08/45,"[""Bounded and Unbounded knapsack problem"", ""Unbounded Knapsack""]","[1, 1]","[""2025/01/16/00/00/00"", ""2025/01/21/18/08/45""]","[""Medium"", ""medium""]"
Binary Search,2025/01/26/02/00/01,2025/01/31/02/00/01,"[""Binary Search in Sorted Array"", ""Search in Rotated Array""]","[0, 3]","[""2025/01/16/00/00/00"", ""2025/01/26/02/00/01""]","[""easy"", ""medium""]"
LRU Cache,2025/01/28/12/42/33,2025/02/02/12/42/33,"[""LRU Cache"", ""LRU Cache""]","[0, 2]","[""2025/01/16/00/00/00"", ""2025/01/28/12/42/33""]","[""medium"", ""medium""]"
Pandas,2025/01/19/00/11/23,2025/01/21/00/11/23,"[""Pandas Probs"", ""Pandas Probs""]","[2, 3]","[""2025/01/17/21/27/56"", ""2025/01/19/00/11/23""]","[""medium"", ""medium""]"
DP Problems,2025/01/24/22/35/11,2025/01/26/22/35/11,"[""Longest Increasing Substring"", ""Edit Distance Distribution""]","[4, 2]","[""2025/01/21/18/09/16"", ""2025/01/24/22/35/11""]","[""medium"", ""medium""]"
Graph Algorithms,2025/01/27/17/08/53,2025/02/02/17/08/53,"[""Number of Islands (BFS)"", ""DFS (numIslands)""]","[1, 1]","[""2025/01/26/01/02/47"", ""2025/01/27/17/08/53""]","[""medium"", ""medium""]"
Sliding Window,2025/01/27/15/57/20,2025/01/28/15/57/20,"[""Longest Substring Without Repeating Characters""]",[1],"[""2025/01/27/15/57/20""]","[""medium""]"
Arrays,2025/01/28/12/57/37,2025/01/29/12/57/37,"[""Insert Delete GetRandom O(1)""]",[2],"[""2025/01/28/12/57/37""]","[""medium""]"
